age,gender,pattern
49,Kobieta,"[0, 3, 6, 7, 8]"
19,Kobieta,"[6, 1, 8, 7, 2, 0, 3, 4, 5]"
35,Mężczyzna,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
21,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
20,Mężczyzna,"[6, 3, 0, 1, 2]"
21,Mężczyzna,"[2, 1, 3, 6, 7, 8]"
21,Mężczyzna,"[3, 6, 7, 8, 5, 2, 1, 0]"
46,Kobieta,"[0, 1, 4, 7, 8]"
20,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
28,Kobieta,"[0, 3, 6, 7, 8]"
35,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
22,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
18,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
57,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
18,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
31,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
38,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
19,Kobieta,"[0, 3, 6, 7, 8]"
30,Kobieta,"[2, 1, 4, 5, 8, 7]"
20,Mężczyzna,"[8, 5, 2, 1, 0, 4, 7, 6, 3]"
60,Mężczyzna,"[3, 4, 5, 8]"
38,Kobieta,"[3, 4, 5, 8]"
36,Kobieta,"[6, 3, 1, 5, 8, 7]"
45,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
27,Mężczyzna,"[2, 1, 0, 4, 8, 7, 6]"
35,Mężczyzna,"[0, 1, 2, 5, 8]"
22,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
42,Kobieta,"[0, 3, 6, 7, 4, 1]"
19,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
19,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
24,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
21,Kobieta,"[3, 4, 5, 8]"
41,Mężczyzna,"[2, 4, 6, 7, 8]"
20,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
58,Mężczyzna,"[0, 3, 6, 7, 8]"
25,Mężczyzna,"[6, 3, 4, 5, 2, 1, 7, 8, 0]"
28,Kobieta,"[6, 3, 0, 1, 2, 5, 8]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
28,Kobieta,"[1, 4, 7, 8]"
21,Mężczyzna,"[6, 4, 2, 5, 8]"
18,Kobieta,"[0, 3, 6, 7, 8]"
22,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
22,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
37,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
21,Mężczyzna,"[8, 4, 0, 1, 2, 3, 5, 7, 6]"
21,Kobieta,"[6, 3, 7, 4, 8, 5, 2, 1, 0]"
22,Kobieta,"[6, 4, 2, 5, 8, 0]"
35,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
39,Mężczyzna,"[0, 1, 2, 5, 8]"
35,Kobieta,"[3, 4, 5, 8]"
26,Mężczyzna,"[0, 1, 2, 4, 6]"
22,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
19,Mężczyzna,"[3, 4, 5, 8]"
21,Mężczyzna,"[0, 3, 4, 5, 8, 6, 1, 2]"
22,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
45,Mężczyzna,"[0, 1, 2, 5, 8]"
45,Mężczyzna,"[0, 3, 6, 7]"
20,Kobieta,"[0, 1, 2, 5, 8]"
19,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
55,Kobieta,"[0, 3, 6, 7, 8]"
22,Kobieta,"[1, 3, 7, 5, 4, 2]"
23,Kobieta,"[2, 5, 8, 7, 6]"
18,Mężczyzna,"[0, 3, 6, 4, 2]"
22,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
24,Mężczyzna,"[3, 4, 5, 8]"
31,Kobieta,"[2, 1, 0, 3, 6, 7, 8, 5]"
49,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
19,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
24,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
21,Mężczyzna,"[6, 1, 0, 3, 4, 2, 5, 8, 7]"
28,Kobieta,"[0, 3, 6, 7, 8]"
19,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
27,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
25,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
26,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
28,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
18,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
25,Mężczyzna,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
20,Kobieta,"[0, 3, 4, 5, 8]"
19,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
21,Kobieta,"[0, 3, 4, 5, 8]"
24,Kobieta,"[3, 4, 5, 8]"
28,Mężczyzna,"[3, 4, 5, 8]"
40,Kobieta,"[3, 4, 5, 8]"
24,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
18,Mężczyzna,"[3, 4, 5, 8]"
22,Kobieta,"[0, 3, 6, 8]"
25,Kobieta,"[6, 7, 8, 5, 4, 3, 0, 1, 2]"
30,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
22,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
45,Kobieta,"[4, 5, 8, 7, 6, 0, 1, 2]"
25,Kobieta,"[1, 2, 5, 8, 7, 6, 3, 4]"
22,Mężczyzna,"[6, 4, 2, 5, 8]"
21,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
42,Kobieta,"[6, 3, 0, 4, 8, 5, 2]"
31,Kobieta,"[4, 3, 5, 8]"
41,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
58,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Kobieta,"[1, 4, 7, 8]"
25,Kobieta,"[4, 5, 8, 7, 6, 3, 0, 1, 2]"
22,Kobieta,"[2, 5, 8, 7, 6, 3, 0, 1, 4]"
26,Kobieta,"[0, 3, 4, 5, 8]"
24,Kobieta,"[6, 3, 0, 1, 2, 4, 7, 8, 5]"
19,Kobieta,"[2, 1, 0, 6, 7, 8, 5, 4]"
19,Kobieta,"[0, 1, 2, 5, 8]"
35,Kobieta,"[4, 5, 2, 0, 3, 6, 7, 8]"
23,Mężczyzna,"[8, 5, 2, 4, 6, 3, 0]"
18,Mężczyzna,"[0, 3, 4, 5, 8]"
46,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Kobieta,"[4, 5, 8, 7, 6, 0, 1, 2]"
20,Kobieta,"[0, 3, 7, 8]"
19,Mężczyzna,"[0, 3, 6, 4, 7, 8, 5, 1, 2]"
19,Mężczyzna,"[2, 5, 8, 7, 6]"
50,Mężczyzna,"[0, 3, 6, 4, 2]"
22,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
19,Kobieta,"[0, 7, 2, 1]"
20,Kobieta,"[3, 4, 5, 8]"
